rect0s1:[489, 202] [559, 199]
rect0s2:[144, 184] [144, 343]
rect0s3:[344, 199] [406, 198]
rect0s4:[400, 192] [400, 343]
rect1s1:[936, 199] [1007, 201]
rect1s2:[1304, 184] [1304, 343]
rect1s3:[1080, 195] [1151, 195]
rect1s4:[934, 193] [934, 349]
rect2s1:[936, 199] [1007, 201]
rect2s2:[1304, 184] [1304, 343]
rect2s3:[1080, 195] [1151, 195]
rect2s4:[1082, 192] [1082, 351]
rect3s1:[489, 202] [559, 199]
rect3s2:[184, 193] [184, 343]
rect3s3:[344, 199] [406, 198]
rect3s4:[400, 192] [400, 343]
rect4s1:[936, 199] [1007, 201]
rect4s2:[1304, 184] [1304, 343]
rect4s3:[1080, 195] [1151, 195]
rect4s4:[1000, 200] [1000, 351]
rect5s1:[489, 202] [559, 199]
rect5s2:[184, 193] [184, 343]
rect5s3:[344, 199] [406, 198]
rect5s4:[544, 192] [544, 351]
rect6s1:[489, 202] [559, 199]
rect6s2:[336, 192] [336, 343]
rect6s3:[344, 199] [406, 198]
rect6s4:[544, 192] [544, 351]
rect7s1:[1080, 195] [1151, 195]
rect7s2:[784, 192] [784, 351]
rect7s3:[784, 201] [855, 202]
rect7s4:[1082, 192] [1082, 351]
rect8s1:[1080, 195] [1151, 195]
rect8s2:[784, 192] [784, 351]
rect8s3:[784, 201] [855, 202]
rect8s4:[1144, 192] [1144, 351]
rect9s1:[936, 199] [1007, 201]
rect9s2:[784, 192] [784, 351]
rect9s3:[1080, 195] [1151, 195]
rect9s4:[1144, 192] [1144, 351]
rect10s1:[936, 199] [1007, 201]
rect10s2:[1144, 192] [1144, 351]
rect10s3:[1080, 195] [1151, 195]
rect10s4:[847, 192] [847, 351]
rect11s1:[489, 202] [559, 199]
rect11s2:[184, 193] [184, 343]
rect11s3:[344, 199] [406, 198]
rect11s4:[488, 201] [488, 351]
rect12s1:[489, 202] [559, 199]
rect12s2:[336, 192] [336, 343]
rect12s3:[640, 203] [702, 204]
rect12s4:[544, 192] [544, 351]
rect13s1:[344, 199] [406, 198]
rect13s2:[336, 192] [336, 343]
rect13s3:[640, 203] [702, 204]
rect13s4:[695, 192] [695, 351]
rect14s1:[344, 199] [406, 198]
rect14s2:[695, 192] [695, 351]
rect14s3:[640, 203] [702, 204]
rect14s4:[400, 192] [400, 343]
rect15s1:[489, 202] [559, 199]
rect15s2:[695, 192] [695, 351]
rect15s3:[640, 203] [702, 204]
rect15s4:[400, 192] [400, 343]
rect16s1:[489, 202] [559, 199]
rect16s2:[784, 192] [784, 351]
rect16s3:[640, 203] [702, 204]
rect16s4:[400, 192] [400, 343]
rect17s1:[1080, 195] [1151, 195]
rect17s2:[1000, 200] [1000, 351]
rect17s3:[784, 201] [855, 202]
rect17s4:[695, 192] [695, 351]
rect18s1:[1080, 195] [1151, 195]
rect18s2:[784, 192] [784, 351]
rect18s3:[784, 201] [855, 202]
rect18s4:[1000, 200] [1000, 351]
rect19s1:[936, 199] [1007, 201]
rect19s2:[784, 192] [784, 351]
rect19s3:[1080, 195] [1151, 195]
rect19s4:[1000, 200] [1000, 351]
rect20s1:[489, 202] [559, 199]
rect20s2:[488, 201] [488, 351]
rect20s3:[344, 199] [406, 198]
rect20s4:[695, 192] [695, 351]
rect21s1:[489, 202] [559, 199]
rect21s2:[784, 192] [784, 351]
rect21s3:[640, 203] [702, 204]
rect21s4:[544, 192] [544, 351]
rect22s1:[489, 202] [559, 199]
rect22s2:[544, 192] [544, 351]
rect22s3:[640, 203] [702, 204]
rect22s4:[847, 192] [847, 351]
rect23s1:[489, 202] [559, 199]
rect23s2:[544, 192] [544, 351]
rect23s3:[784, 201] [855, 202]
rect23s4:[847, 192] [847, 351]
rect24s1:[784, 201] [855, 202]
rect24s2:[934, 193] [934, 349]
rect24s3:[640, 203] [702, 204]
rect24s4:[544, 192] [544, 351]
rect25s1:[936, 199] [1007, 201]
rect25s2:[934, 193] [934, 349]
rect25s3:[784, 201] [855, 202]
rect25s4:[695, 192] [695, 351]
rect26s1:[936, 199] [1007, 201]
rect26s2:[1144, 192] [1144, 351]
rect26s3:[784, 201] [855, 202]
rect26s4:[934, 193] [934, 349]
rect27s1:[344, 199] [406, 198]
rect27s2:[784, 192] [784, 351]
rect27s3:[640, 203] [702, 204]
rect27s4:[488, 201] [488, 351]
rect28s1:[489, 202] [559, 199]
rect28s2:[784, 192] [784, 351]
rect28s3:[640, 203] [702, 204]
rect28s4:[488, 201] [488, 351]
rect29s1:[489, 202] [559, 199]
rect29s2:[488, 201] [488, 351]
rect29s3:[640, 203] [702, 204]
rect29s4:[847, 192] [847, 351]
rect30s1:[489, 202] [559, 199]
rect30s2:[488, 201] [488, 351]
rect30s3:[784, 201] [855, 202]
rect30s4:[847, 192] [847, 351]
rect31s1:[784, 201] [855, 202]
rect31s2:[784, 192] [784, 351]
rect31s3:[640, 203] [702, 204]
rect31s4:[544, 192] [544, 351]
rect32s1:[784, 201] [855, 202]
rect32s2:[544, 192] [544, 351]
rect32s3:[640, 203] [702, 204]
rect32s4:[847, 192] [847, 351]
rect33s1:[489, 202] [559, 199]
rect33s2:[934, 193] [934, 349]
rect33s3:[784, 201] [855, 202]
rect33s4:[641, 200] [641, 351]
rect34s1:[784, 201] [855, 202]
rect34s2:[934, 193] [934, 349]
rect34s3:[640, 203] [702, 204]
rect34s4:[641, 200] [641, 351]
rect35s1:[936, 199] [1007, 201]
rect35s2:[934, 193] [934, 349]
rect35s3:[640, 203] [702, 204]
rect35s4:[641, 200] [641, 351]
rect36s1:[936, 199] [1007, 201]
rect36s2:[934, 193] [934, 349]
rect36s3:[784, 201] [855, 202]
rect36s4:[641, 200] [641, 351]
rect37s1:[936, 199] [1007, 201]
rect37s2:[1000, 200] [1000, 351]
rect37s3:[784, 201] [855, 202]
rect37s4:[695, 192] [695, 351]
rect38s1:[936, 199] [1007, 201]
rect38s2:[784, 192] [784, 351]
rect38s3:[784, 201] [855, 202]
rect38s4:[1000, 200] [1000, 351]
rect39s1:[784, 201] [855, 202]
rect39s2:[784, 192] [784, 351]
rect39s3:[640, 203] [702, 204]
rect39s4:[488, 201] [488, 351]
rect40s1:[784, 201] [855, 202]
rect40s2:[488, 201] [488, 351]
rect40s3:[640, 203] [702, 204]
rect40s4:[847, 192] [847, 351]
rect41s1:[784, 201] [855, 202]
rect41s2:[784, 192] [784, 351]
rect41s3:[640, 203] [702, 204]
rect41s4:[1000, 200] [1000, 351]
rect42s1:[936, 199] [1007, 201]
rect42s2:[1000, 200] [1000, 351]
rect42s3:[640, 203] [702, 204]
rect42s4:[641, 200] [641, 351]
rect43s1:[936, 199] [1007, 201]
rect43s2:[1000, 200] [1000, 351]
rect43s3:[784, 201] [855, 202]
rect43s4:[641, 200] [641, 351]
rect44s1:[784, 201] [855, 202]
