rect0s1:[41, 51] [41, 19]
rect0s2:[41, 19] [592, 19]
rect0s3:[592, 19] [592, 51]
rect0s4:[592, 51] [41, 51]
rect1s1:[64, 731] [64, 677]
rect1s2:[64, 677] [575, 677]
rect1s3:[575, 677] [575, 731]
rect1s4:[575, 731] [64, 731]
rect2s1:[64, 731] [64, 693]
rect2s2:[64, 693] [575, 693]
rect2s3:[575, 693] [575, 731]
rect2s4:[575, 731] [64, 731]
rect3s1:[320, 693] [575, 693]
rect3s2:[575, 693] [575, 677]
rect3s3:[575, 677] [320, 677]
rect3s4:[320, 677] [320, 693]
rect4s1:[320, 170] [504, 170]
rect4s2:[504, 170] [504, 677]
rect4s3:[504, 677] [320, 677]
rect4s4:[320, 677] [320, 170]
rect5s1:[320, 170] [137, 170]
rect5s2:[137, 170] [137, 677]
rect5s3:[137, 677] [320, 677]
rect5s4:[320, 677] [320, 170]
rect6s1:[320, 286] [137, 286]
rect6s2:[137, 286] [137, 677]
rect6s3:[137, 677] [320, 677]
rect6s4:[320, 677] [320, 286]
rect7s1:[320, 170] [504, 170]
rect7s2:[504, 170] [504, 693]
rect7s3:[504, 693] [320, 693]
rect7s4:[320, 693] [320, 170]
rect8s1:[320, 170] [137, 170]
rect8s2:[137, 170] [137, 693]
rect8s3:[137, 693] [320, 693]
rect8s4:[320, 693] [320, 170]
rect9s1:[320, 286] [137, 286]
rect9s2:[137, 286] [137, 693]
rect9s3:[137, 693] [320, 693]
rect9s4:[320, 693] [320, 286]
rect10s1:[320, 170] [137, 170]
rect10s2:[137, 170] [137, 504]
rect10s3:[137, 504] [320, 504]
rect10s4:[320, 504] [320, 170]
rect11s1:[320, 170] [137, 170]
rect11s2:[137, 170] [137, 600]
rect11s3:[137, 600] [320, 600]
rect11s4:[320, 600] [320, 170]
rect12s1:[320, 170] [137, 170]
rect12s2:[137, 170] [137, 524]
rect12s3:[137, 524] [320, 524]
rect12s4:[320, 524] [320, 170]
rect13s1:[320, 170] [137, 170]
rect13s2:[137, 170] [137, 539]
rect13s3:[137, 539] [320, 539]
rect13s4:[320, 539] [320, 170]
rect14s1:[320, 286] [137, 286]
rect14s2:[137, 286] [137, 504]
rect14s3:[137, 504] [320, 504]
rect14s4:[320, 504] [320, 286]
rect15s1:[320, 286] [137, 286]
rect15s2:[137, 286] [137, 600]
rect15s3:[137, 600] [320, 600]
rect15s4:[320, 600] [320, 286]
rect16s1:[320, 286] [137, 286]
rect16s2:[137, 286] [137, 524]
rect16s3:[137, 524] [320, 524]
rect16s4:[320, 524] [320, 286]
rect17s1:[320, 286] [137, 286]
rect17s2:[137, 286] [137, 539]
rect17s3:[137, 539] [320, 539]
rect17s4:[320, 539] [320, 286]
rect18s1:[320, 391] [161, 391]
rect18s2:[161, 391] [161, 504]
rect18s3:[161, 504] [320, 504]
rect18s4:[320, 504] [320, 391]
rect19s1:[320, 421] [161, 421]
rect19s2:[161, 421] [161, 504]
rect19s3:[161, 504] [320, 504]
rect19s4:[320, 504] [320, 421]
rect20s1:[320, 539] [161, 539]
rect20s2:[161, 539] [161, 391]
rect20s3:[161, 391] [320, 391]
rect20s4:[320, 391] [320, 539]
rect21s1:[64, 677] [64, 693]
